Actor Target Time ActorPosX ActorPosY
WGGY WRYR 433 0 0
WGGY WGG_ 443 0 0
WGGY WGG_ 462 0 0
WGGY WGYY 489 0 0
WGGY WGG_ 507 0 0
WGGY W_W_1 520 0 0
WGGY WGG_ 540 0 0
WGGY WGG_ 565 0 0
WGGY Q 568 0 0
WGGY WG__1 574 0 0

WGGY WY_G2 957 0 0
WGGY WG__1 967 0 0
WGGY WPGG 981 0 0
WGGY WGG_ 989 0 0
WGGY WW__3 996 0 0
WGGY WW__3 1003 0 0
WGGY WWWY 1081 0 0
WGGY WYRR(DIE) 1130 0 0
WGGY WGYY 1269 0 0
WGGY ___W 1346 0 0
WGRP WYWW 357 0 0
WGRP WG__1 879 0 0
WGRP WG__1 894 0 0
WGRP WYWW 1301 0 0
WGRP WYWW 1344 0 0
WGRP WYWW 1358 0 0
WGWW WWR_ 5 0 0
WGWW W_W_1 12 0 0
WGWW WY_R 17 0 0
WGWW WGGG 61 0 0
WGWW WGGG 149 0 0
WGWW W___1 163 0 0
WGWW WPGR 174 0 0
WGWW _YYY 261 0 0
WGWW WGWY 283 0 0
WGWW W___1 296 0 0
WGWW W_YY 309 0 0
WGWW W___1 316 0 0
WGWW W_BG 358 0 0
WGWW WGWY 496 0 0
WGWW WPPP 627 0 0
WGWW W___1 876 0 0
WGWW W___1 882 0 0
WGWW WW__ 927 0 0
WGWW W_YR 1008 0 0
WGWW WYYG 1016 0 0
WGWW WBWY 1027 0 0
WGWW WGGW 1082 0 0
WGWW WW__2 1088 0 0
WGWW WGRP 1091 0 0
WGWW WRWP 1286 0 0
WGWW WR__ 1381 0 0
WGWW WY_R 1408 0 0
WGWW W_RG 1438 0 0
WGWY WWGG 36 0 0
WGWY _YGW 66 0 0
WGWY ____1 145 0 0
WGWY WGGG 228 0 0
WGWY WY_R 245 0 0

WGWY WYRW 253 0 0
WGWY WR__ 258 0 0
WGWY WYRW 264 0 0
WGWY WPGR 498 0 0
WGWY WPGR 532 0 0
WGWY _GGR 537 0 0
WGWY WPGR 551 0 0
WGWY WW__1 1062 0 0
WGWY WRWP 1164 0 0
WGWY WW__ 1172 0 0
WGWY WPGR 1183 0 0
WGWY _GGR 1210 0 0
WGWY WPYY 1220 0 0
WGWY WPYY 1253 0 0
WGYY WWGY 9 0 0
WGYY WWGY 62 0 0
WGYY WW__2 167 0 0
WGYY W___1 212 0 0
WGYY W_W_1 364 0 0
WGYY WG__1 378 0 0
WGYY WRYR 385 0 0
WGYY W_W_1 389 0 0
WGYY W___1 404 0 0
WGYY W___1 609 0 0
WGYY _GGR 624 0 0
WGYY WWWY 655 0 0
WGYY WWWY 690 0 0
WGYY WGRP 711 0 0
WGYY WWWY 785 0 0
WGYY WW__ 818 0 0
WGYY W_YR 831 0 0
WGYY WG__1 855 0 0
WGYY WRYR 903 0 0
WGYY W_YR 918 0 0
WGYY WRYR 1293 0 0
WGYY WWGY 1401 0 0
WPGG WY_G2 89 0 0
WPGG Q 309 0 0
WPGG WWR_ 430 0 0
WPGG WW__(H) 495 0 0
WPGG WG__1 714 0 0
WPGG WWR_ 747 0 0
WPGG W_W_2 814 0 0
WPGG _GGR 833 0 0
WPGG Q 867 0 0
WPGG _GGR 884 0 0
WPGG Q 912 0 0
WPGG WW__ 935 0 0
WPGG WWRY 967 0 0

WPGG WGGY 981 0 0
WPGR WGWW 501 0 0
WPGR WGWY 502 0 0
WPGR WGWY 529 0 0
WPGR W_W_1 660 0 0
WPGR W_W_1 673 0 0
WPGR WYRW 698 0 0
WPGR _GGR 778 0 0
WPGR WYRW 787 0 0
WPGR WYRW 809 0 0
WPGR WGGW 1034 0 0
WPGR WGGW 1045 0 0
WPGR WGWY 1188 0 0
WPGR WW__2 1197 0 0
WPGR WBGW 1213 0 0
WPGR W_RG 1247 0 0
WPGY WRWP 0 0 0
WPGY _YYY 250 0 0
WPGY WY_R 945 0 0
WPGY _YYY 996 0 0
WPGY _YYY 1010 0 0
WPGY WY_R 1437 0 0
WPPP WW__3 0 0 0
WPYY WRGG 0 0 0
WPYY WY_R 287 0 0
WPYY _GGR 817 0 0
WPYY WW__1 937 0 0
WPYY WW__1 1053 0 0
WPYY WWY_ 1197 0 0
WPYY WY_R 1244 0 0
WPYY WGWY 1303 0 0
WPYY WGWY 1321 0 0
WR__ WG__2 361 0 0
WR__ WPYY 456 0 0
WR__ WPYY 467 0 0
WR__ WY_R 476 0 0
WR__ WPYY 477 0 0
WR__ WGGG 602 0 0
WR__ WGGG 914 0 0
WR__ WGGG 966 0 0
WR__ W_RG 967 0 0
WR__ WY_G1 977 0 0
WR__ WGWW 1274 0 0
WR__ WBGW 1350 0 0
WRGG WPYY 41 0 0
WRGG WWR_ 52 0 0
WRGG WG__1 145 0 0
WRGG W___1 274 0 0
WRGG W___1 276 0 0

WRGG WG__1 340 0 0
WRGG WWY_ 343 0 0
WRGG WG__1 348 0 0
WRGG WWY_ 652 0 0
WRGG WWY_ 730 0 0
WRGG WWY_ 782 0 0
WRGG WRWP 949 0 0
WRGG WRWP 976 0 0
WRGG WPYY 1056 0 0
WRGG WWR_ 1419 0 0
WRGG WPYY 1438 0 0
WRGW WYG_ 0 0 0
WRGW WYG_ 317 0 0
WRGW WWGG 354 0 0
WRGW Q 360 0 0
WRGW WYG_ 371 0 0
WRGW WWWY 406 0 0
WRGW WYYG 512 0 0
WRGW WWRY 539 0 0
WRGW WRYR 738 0 0
WRGW WYG_ 929 0 0
WRGW WRYR 964 0 0
WRGW WGRP 1142 0 0
WRGW WGYY 1193 0 0
WRGW WY_R 1196 0 0
WRGW WYRW 1228 0 0
WRGW WGRW 1258 0 0
WRGW WW__(H) 1288 0 0
WRGW WG__3 1296 0 0
WRGW WRGG 1320 0 0
WRGW WYRW 1378 0 0
WRGW WGRP 1406 0 0
WRGW WW__(H) 1413 0 0
WRWP W_W_1 120 0 0
WRWP WRGG 158 0 0
WRWP W_W_1 162 0 0
WRWP W_W_1 165 0 0
WRWP WYY_ 290 0 0
WRWP WPGY 886 0 0
WRWP WRGG 949 0 0
WRWP WGWY 1110 0 0
WRWP WGWW 1284 0 0
WRYR Q 8 0 0
WRYR WGG_ 14 0 0
WRYR WGG_ 18 0 0
WRYR WGRP 68 0 0
WRYR W_W_1 560 0 0
WRYR WW__(H) 707 0 0
WRYR WW__(H) 709 0 0

WRYR WRGW 742 0 0
WRYR WRGW 959 0 0
WRYR WRGW 964 0 0
WRYR WW__2 1066 0 0
WRYR W_W_1 1099 0 0
WRYR WG__1 1132 0 0
WRYR WYRW 1276 0 0
WRYR WGYY 1293 0 0
WRYY WYRW 0 0 0
WRYY WPGG 431 0 0
WRYY WPGG 758 0 0
WRYY WY__ 1002 0 0
WRYY WPGG 1206 0 0
WRYY WWR_ 1212 0 0
WRYY WG__1 1282 0 0
WRYY WYWW 1329 0 0
WRYY WG__1 1345 0 0
WRYY _GGR 1348 0 0
WRYY WRGG 1437 0 0
WRYY WWR_ 1438 0 0
WW__ ____3 36 0 0
WW__ WG__1 325 0 0
WW__ _GGR 660 0 0
WW__ WGWW 825 0 0
WW__ W___1 906 0 0
WW__ WYY_ 1090 0 0
WW__(H) WW__(Z) 0 0 0
WW__(H) WW__(Z) 622 0 0
WW__(H) WW__(Z) 733 0 0
WW__(H) _YGB 895 0 0
WW__(H) _YGB 1316 0 0
WW__(Z) WW__(H) 0 0 0
WW__(Z) _YGW 583 0 0
WW__(Z) WW__(H) 622 0 0
WW__(Z) WRYR 708 0 0
WW__(Z) WW__(H) 733 0 0
WW__(Z) WRGW 775 0 0
WW__(Z) WGRP 896 0 0
WW__(Z) WGRP 918 0 0
WW__(Z) WG__1 978 0 0
WW__(Z) W_W_1 1012 0 0
WW__(Z) W_YR 1035 0 0
WW__(Z) WRYR 1085 0 0
WW__(Z) WW__1 1194 0 0
WW__(Z) WGRP 1336 0 0
WW__(Z) WGGY 1352 0 0
WW__1 WPYY 19 0 0
WW__1 WYY_ 34 0 0
WW__1 Q 38 0 0

WW__1 WWY_ 45 0 0
WW__1 _YYY 48 0 0
WW__1 WYY_ 54 0 0
WW__1 WYYG 121 0 0
WW__1 WG__1 135 0 0
WW__1 WG__1 235 0 0
WW__1 WYGR 288 0 0
WW__1 WYWW 321 0 0
WW__1 WYG_ 405 0 0
WW__1 WYYB 422 0 0
WW__1 WG__1 492 0 0
WW__1 Q 553 0 0
WW__1 WWWY 592 0 0
WW__1 WWGY 646 0 0
WW__1 W_RG 681 0 0
WW__1 ____3 702 0 0
WW__1 ____3 754 0 0
WW__1 WG_Y 781 0 0
WW__1 WPPP 790 0 0
WW__1 WGGG 844 0 0
WW__1 WBGW 873 0 0
WW__1 WGGG 886 0 0
WW__1 WYY_ 889 0 0
WW__1 WBGW 913 0 0
WW__1 WPYY 931 0 0
WW__1 _GGR 991 0 0
WW__1 _GGR 1034 0 0
WW__1 WGWY 1062 0 0
WW__1 _GGR 1112 0 0
WW__1 WGGW 1150 0 0
WW__1 WW__(Z) 1194 0 0
WW__2 WWGY 150 0 0
WW__2 W___1 845 0 0
WW__2 WYYG 862 0 0
WW__2 WWWY 894 0 0
WW__2 WGRP 912 0 0
WW__2 WGRP 971 0 0
WW__2 W_YY 993 0 0
WW__2 W_W_2 1058 0 0
WW__2 WBWY 1216 0 0
WW__2 _GGR 1248 0 0
WW__2 _GGR 1267 0 0
WW__2 WY__ 1280 0 0
WW__2 _GGR 1311 0 0
WW__2 WPGG 1320 0 0
WW__2 WGG_ 1332 0 0
WW__2 WBWY 1347 0 0
WW__2 W_W_1 1349 0 0
WW__2 WGRP 1360 0 0

WW__2 WGRP 1393 0 0
WW__2 WRGW 1418 0 0
WW__3 WPPP 0 0 0
WWGG WWRY 11 0 0
WWGG WGWW 36 0 0
WWGG WY__ 109 0 0
WWGG WY__ 305 0 0
WWGG WG__3 306 0 0
WWGG WRGW 332 0 0
WWGG WRGW 347 0 0
WWGG WW__ 408 0 0
WWGG WYG_ 433 0 0
WWGG WYYB 757 0 0
WWGG WYG_ 798 0 0
WWGG WYG_ 1325 0 0
WWGY W_W_1 45 0 0
WWGY WG__1 70 0 0
WWGY WW__ 153 0 0
WWGY WG__1 348 0 0
WWGY WGG_ 359 0 0
WWGY WRYR 390 0 0
WWGY _GGR 613 0 0
WWGY WY_G2 618 0 0
WWGY W_W_1 624 0 0
WWGY WW__ 646 0 0
WWGY WW__ 658 0 0
WWGY WGRP 792 0 0
WWGY WG__1 828 0 0
WWGY WG__1 1178 0 0
WWR_ WGWW 6 0 0
WWR_ WG__1 56 0 0
WWR_ WRGG 81 0 0
WWR_ WBWY 139 0 0
WWR_ WR__ 216 0 0
WWR_ WBWY 227 0 0
WWR_ WYRW 233 0 0
WWR_ WWY_ 541 0 0
WWR_ WY__ 996 0 0
WWR_ _GGR 1087 0 0
WWR_ WG__1 1123 0 0
WWR_ W_W_1 1137 0 0
WWR_ _GGR 1232 0 0
WWR_ WRGG 1248 0 0
WWR_ WG__1 1269 0 0
WWR_ WRGG 1420 0 0
WWRY WWY_ 233 0 0
WWRY WBWY 259 0 0
WWRY W_W_2 1105 0 0
WWRY WGG_ 1198 0 0

WWWY WGRP 124 0 0
WWWY WYRR(DIE) 147 0 0
WWWY WY_G2 243 0 0
WWWY WGYY 458 0 0
WWWY WWGY 602 0 0
WWWY W___1 656 0 0
WWWY _GGR 690 0 0
WWWY WG_Y 781 0 0
WWWY WGRP 807 0 0
WWWY WG__1 831 0 0
WWWY W___1 853 0 0
WWWY WGGG 879 0 0
WWWY WW__ 897 0 0
WWWY W___1 947 0 0
WWWY W_W_1 1082 0 0
WWY_ WW__1 40 0 0
WWY_ WPYY 89 0 0
WWY_ Q 165 0 0
WWY_ WWR_ 177 0 0
WWY_ WYRW 187 0 0
WWY_ WGRP 214 0 0
WWY_ WPGG 225 0 0
WWY_ WR__ 610 0 0
WWY_ WRGG 648 0 0
WWY_ WG__1 666 0 0
WY__ _GGR 85 0 0
WY__ WWGG 109 0 0
WY__ WWGG 305 0 0
WY__ WRYY 316 0 0
WY__ WW__1 331 0 0
WY__ WYWW 335 0 0
WY__ Q 425 0 0
WY__ WWGG 770 0 0
WY__ _GGR 1067 0 0
WY__ WYWW 1108 0 0
WY__ WYY_ 1146 0 0
WY__ WYY_ 1240 0 0
WY__ WGRP 1248 0 0
WY__ __W_ 1289 0 0
WY__ WG__1 1320 0 0
WY__ WRGG 1324 0 0
WY__ WRWP 1343 0 0
WY__ W___1 1353 0 0
WY__ WGYY 1359 0 0
WY__ WWGY 1363 0 0
WY_G1 WGG_ 3 0 0
WY_G1 WG__2 20 0 0
WY_G1 WGRP 22 0 0
WY_G1 WGRP 25 0 0

WY_G1 WPGG 79 0 0
WY_G1 WGRP 93 0 0
WY_G1 WW__(H) 105 0 0
WY_G1 WYYG 133 0 0
WY_G1 WWGY 202 0 0
WY_G1 WWWY 245 0 0
WY_G1 WGG_ 324 0 0
WY_G1 W_W_1 371 0 0
WY_G1 WGYY 394 0 0
WY_G1 WYYG 403 0 0
WY_G1 WRGW 455 0 0
WY_G1 WYYG 506 0 0
WY_G1 WWGY 666 0 0
WY_G1 _GGR 853 0 0
WY_G1 WPGG 893 0 0
WY_G1 WWGY 910 0 0
WY_G1 ____2 914 0 0
WY_G1 WW__ 918 0 0
WY_G1 WG__2 933 0 0
WY_G1 W_RG 969 0 0
WY_G1 W_W_1 970 0 0
WY_G1 WR__ 977 0 0
WY_G1 W_W_1 984 0 0
WY_G1 WWGY 1000 0 0
WY_G1 WW__2 1033 0 0
WY_G1 ____2 1062 0 0
WY_G1 WGG_ 1097 0 0
WY_G1 ____2 1123 0 0
WY_G1 WW__2 1145 0 0
WY_G2 WGG_ 6 0 0
WY_G2 WGRP 21 0 0
WY_G2 WGRP 24 0 0
WY_G2 WPGG 82 0 0
WY_G2 WPGG 86 0 0
WY_G2 WGRP 92 0 0
WY_G2 WW__(Z) 114 0 0
WY_G2 WGRP 126 0 0
WY_G2 WWGY 201 0 0
WY_G2 WWWY 207 0 0
WY_G2 WWWY 229 0 0
WY_G2 WGRP 368 0 0
WY_G2 WGRP 372 0 0
WY_G2 WGWY 384 0 0
WY_G2 WRGW 399 0 0
WY_G2 WYYG 400 0 0
WY_G2 WRGW 450 0 0
WY_G2 WYYG 506 0 0
WY_G2 WRGW 543 0 0
WY_G2 WGWY 559 0 0

WY_G2 WWGY 663 0 0
WY_G2 WWRY 695 0 0
WY_G2 _GGR 859 0 0
WY_G2 _GGR 883 0 0
WY_G2 _GGR 888 0 0
WY_G2 _GGR 902 0 0
WY_G2 WPGG 903 0 0
WY_G2 WWWY 905 0 0
WY_G2 WGYY 930 0 0
WY_G2 PYPG 957 0 0
WY_G2 W_RG 969 0 0
WY_G2 W_W_1 971 0 0
WY_G2 WWGY 1005 0 0
WY_G2 WW__2 1031 0 0
WY_G2 WWWY 1116 0 0
WY_G2 ____2 1124 0 0
WY_G2 ____2 1126 0 0
WY_G2 Q 1259 0 0
WY_G2 Q 1370 0 0
WY_R WR__ 0 0 0
WY_R WYY_ 6 0 0
WY_R WGWW 23 0 0
WY_R WYY_ 74 0 0
WY_R _GGR 132 0 0
WY_R WR__ 159 0 0
WY_R WPYY 226 0 0
WY_R W___1 248 0 0
WY_R WPYY 284 0 0
WY_R WBGW 938 0 0
WY_R WPYY 1210 0 0
WY_R WGWW 1388 0 0
WY_R _YYY 1392 0 0
WY_R WBGW 1405 0 0
WYG_ WRGW 371 0 0
WYG_ WWGG 433 0 0
WYG_ WYYB 457 0 0
WYG_ WYYB 1011 0 0
WYG_ WYYB 1019 0 0
WYGR WYWW 3 0 0
WYGR WYRW 66 0 0
WYGR WWY_ 272 0 0
WYGR WW__1 285 0 0
WYGR WRYY 774 0 0
WYRW WRYY 0 0 0
WYRW WYGR 101 0 0
WYRW WWY_ 187 0 0
WYRW WPYY 232 0 0
WYRW WPYY 380 0 0
WYRW WY__ 449 0 0

WYRW W_RG 459 0 0
WYRW WPGY 477 0 0
WYRW W_W_1 678 0 0
WYRW WPGR 696 0 0
WYRW WGGG 713 0 0
