Actor Target ActorPosX ActorPosY Time
YWWB WWGR 552 319 1381
WYBB YWWB 469 303 2
WYBB ____(4) 498 289 27
WYBB WWRG 477 259 101
WYBB ____(4) 469 263 1227
WYBB GG_W 460 274 1240
WYBB YWWB 448 320 1258
WYBB WGGR 440 339 1260
WYBB _WW_ 474 319 1274
WYBB ____(6) 605 332 1340
WYBB ____(6) 597 343 1439
_WW_ __YY 476 402 13
_WW_ _G__ 476 402 323
_WW_ WWYW 476 402 378
_WW_ YWWB 527 384 1358
_RYY _GB_ 500 176 99
_RYY WY__ 472 200 128
_RYY _GB_ 485 200 159
_RYY __YY 147 198 202
_RYY WY__ 503 200 223
_RYY white_legs 495 176 230
_RYY _BWW 516 165 965
_RYY WWRG 528 173 1430
_RYY _BWW 520 165 1435
_RYY WWRG 543 196 1447
_RYY _BWW 525 182 1452
_RYY _G__ 526 132 1530

_RYY __YY 500 146 1546
_RYY __YY 497 231 1572
_RYY _BWW 490 213 1577
_RYY WY__ 459 200 1580
WWRG _WWR 549 285 5
WWRG WW_W 549 285 6
WWRG __YY 523 252 92
WWRG WYBB 494 246 102
WWRG RWY_ 638 214 139
WWRG ____(6) 846 203 170
WWRG _G__ 846 215 194
WWRG BBRR 806 297 227
WWRG _RRR 627 273 240
WWRG WY__ 594 227 243
WWRG WWYW 572 227 258
WWRG RWY_ 651 208 293
WWRG WY__ 600 208 378
WWRG ____(4) 549 245 402
WWRG GG_W 494 204 532
WWRG __YY 434 221 627
WWRG WWBG 471 245 885
WWRG __YY 478 216 990
WWRG GG_W 452 222 1199
WWRG GG_W 400 245 1220
WWRG _GB_ 548 226 1269
WWRG _RRR 543 246 1295
WWRG WY__ 516 210 1358
WWRG _RYY 538 206 1490
____(4) WY__ 506 236 114
____(4) white_legs 511 246 141
____(4) _G__ 501 299 354
____(4) WYBB 501 296 424
____(4) __YY 380 234 517
____(4) ____(1) 393 298 549
____(4) WWRG 356 248 1248
____(4) _RRR 540 255 1267
____(4) YWWB 495 315 1277
____(4) WGGR 440 271 1289
____(4) YWWB 509 344 1317
____(4) _GB_ 752 203 1332
____(4) RWY_ 735 265 1386
____(4) ____(5) 660 315 1414
____(4) WWGR 467 303 1603
____(4) ____(1) 377 300 1626
____(4) WWGR 415 338 1640
____(4) _WW_ 495 385 1698
____(4) WWGR 413 375 1707
_WWR WWYW 550 346 20
_WWR WW_W 600 320 95

_WWR __YY 605 380 101
_WWR _G__ 610 377 125
_WWR WWYW 535 320 182
_WWR WGGR 252 297 507
WWYW _WWR 561 345 25
WWYW WYBB 490 290 67
WWYW WGRY 360 350 71
WWYW WWGR 360 350 72
WWYW YYWW 237 347 80
WWYW _WW_ 442 375 110
WWYW _WWR 532 342 188
WWYW ____(4) 530 285 245
WWYW WYBB 514 293 249
WWYW WWRG 550 250 260
WWYW WW_W 605 355 272
WWYW ____(5) 684 310 362
WWYW _WW_ 505 388 377
WWYW WGRY 368 358 388
WWYW WWGR 320 370 470
WWYW YWRG 165 344 490
WWYW YYWW 165 344 493
WWYW _WWR 236 316 515
WWYW YYWW 158 294 609
WWYW __YY 208 236 1265
WWYW WGGR 197 245 1368
WWYW YYWW 170 291 1401
WWYW _WWR 235 285 1516
WWYW YWRG 215 315 1532
WWYW _WWR 250 305 1610
__YY WWYW 574 362 3
__YY _WWR 580 331 6
__YY WW_W 598 310 8
__YY WGGR 204 283 30
__YY YYWW 205 293 32
__YY YWRG 216 369 50
__YY WGGR 144 277 55
__YY YWWB 446 319 74
__YY WYBB 473 273 87
__YY WW__ 670 386 103
__YY BBRR 738 364 110
__YY ____(6) 847 270 143
__YY WY__ 515 232 180
__YY _RYY 190 216 191
__YY GG_W 463 209 330
__YY YYWW 140 340 378
__YY WGGR 220 226 425
__YY WWRG 251 196 667
__YY WWYW 224 204 953
__YY _GB_ 600 200 1006

__YY RWY_ 675 245 1047
__YY _GB_ 600 226 1215
__YY GG_W 377 221 1272
__YY WWRG 404 204 1285
__YY _RYY 513 226 1577
_BWW WWBG 554 206 54
_BWW ____(4) 520 200 140
_BWW white_legs 520 206 152
_BWW _RYY 526 200 225
_BWW GG_W 517 197 339
_BWW WWRG 543 202 470
_BWW __YY 522 176 690
_BWW WWBG 512 161 864
_BWW WY__ 510 160 1320
_BWW _RYY 503 136 1482
_BWW WY__ 485 206 1576
_BWW __YY 525 215 1583
GG_W __YY 570 250 94
GG_W _RRR 585 250 104
GG_W white_legs 560 260 116
GG_W WWRG 565 283 119
GG_W _RRR 571 291 139
GG_W ____(4) 532 267 154
GG_W _BWW 516 240 191
GG_W WYBB 500 250 200
GG_W __YY 486 204 333
GG_W WWRG 491 208 573
GG_W _GB_ 561 196 599
GG_W WWRG 384 283 648
GG_W _RRR 537 263 665
GG_W ____(6) 670 210 680
GG_W WY__ 670 210 683
GG_W _GB_ 610 204 687
GG_W WY__ 600 218 861
GG_W WWRG 490 215 1200
GG_W ____(3) 490 215 1202
GG_W WY__ 490 215 1203
GG_W WGGR 420 260 1242
GG_W WWRG 425 237 1250
GG_W ____(4) 400 235 1256
GG_W WGGR 300 253 1353
GG_W _WWR 256 237 1358
GG_W WY__ 407 231 1721
WW_W __YY 594 304 98
WW_W _WWR 596 346 131
WW_W _G__ 617 373 155
WW_W WWYW 560 365 292
WW_W ____(5) 600 335 433
WW_W _RRR 583 309 755

WW_W WW__ 600 390 788
_RRR GG_W 609 247 103
_RRR WWRG 597 244 125
_RRR WWYW 572 265 260
_RRR WWRG 578 257 411
_RRR _BWW 555 258 660
_RRR WY__ 558 258 930
____(5) WW_W 630 305 3
____(5) _RRR 660 295 23
____(5) __YY 662 297 163
____(5) WWRG 662 292 234
____(5) WWYW 650 285 363
____(5) RWY_ 652 287 855
____(5) __YY 653 283 1063
____(5) RWY_ 640 271 1753
____(5) WWRG 641 272 1755
RWY_ WWRG 670 240 237
RWY_ WW__ 705 214 349
RWY_ ____(6) 660 222 484
RWY_ WW__ 693 226 503
RWY_ GG_W 716 254 792
RWY_ ____(6) 676 238 884
RWY_ __YY 710 247 1072
RWY_ ____(6) 705 229 1098
RWY_ ____(5) 671 280 1530
_G__ RWY_ 727 259 9
_G__ WY__ 816 205 19
_G__ WWYG 841 330 53
_G__ BBRR 797 351 65
_G__ WWYG 825 399 76
_G__ __YY 738 389 107
_G__ _WWR 630 392 124
_G__ WW_W 619 389 172
_G__ _WW_ 475 400 317
_G__ WW_W 573 316 333
_G__ ____(4) 527 226 346
_G__ WWRG 507 257 444
WW__ WWYG 842 380 64
WW__ _G__ 842 378 72
WW__ BBRR 742 361 103
WW__ BBRR 727 333 620
WW__ WW_W 600 378 701
WW__ WW_W 680 390 998
BBRR WW__ 750 345 103
BBRR __YY 755 343 110
BBRR WWYG 836 334 309
BBRR WWYG 838 350 494
BBRR _GB_ 788 335 500
BBRR WW__ 723 344 690

BBRR RWY_ 758 306 716
WWYG WW__ 860 368 42
WWYG _G__ 844 366 96
WY__ ____(6) 831 197 3
WY__ _G__ 832 200 22
WY__ RWY_ 631 206 47
WY__ _BWW 614 209 69
WY__ _RRR 625 228 76
WY__ _RYY 489 211 95
WY__ _GB_ 504 218 160
WY__ _BWW 504 227 169
WY__ _GB_ 562 223 595
WY__ WWRG 559 222 605
WY__ _GB_ 565 225 625
WY__ GG_W 626 206 688
WY__ GG_W 550 216 874
WY__ _BWW 526 207 915
WY__ _GB_ 530 218 1135
WY__ GG_W 509 232 1199
WY__ __YY 410 215 1270
WY__ _BWW 488 201 1283
WY__ WWRG 480 205 1363
WY__ ____(4) 510 230 1373
WY__ _RYY 478 208 1495
WY__ _BWW 475 215 1515
WY__ __YY 478 214 1553
WY__ _RYY 455 267 1591
____(6) __YY 860 240 141
____(6) WWRG 824 215 171
____(6) _GB_ 820 210 175
____(6) WWRG 812 203 196
____(6) WW_W 622 355 229
____(6) WW__ 750 255 290
____(6) WWRG 629 230 298
____(6) WY__ 591 220 301
____(6) _BWW 560 230 317
____(6) GG_W 521 621 321
____(6) ____(4) 526 250 343
____(6) GG_W 522 267 365
____(6) WWYW 525 367 379
____(6) WWYG 833 353 385
____(6) RWY_ 667 225 391
____(6) __YY 678 208 1068
WWBG _RYY 505 159 47
WWBG _BWW 535 200 53
WWBG WY__ 577 208 81
WWBG white_legs 555 201 107
WWBG _BWW 493 161 861
WWBG __YY 431 206 873

WWBG WWYW 213 195 905
WWBG _RYY 518 110 1477
white_legs WWBG 526 184 98
white_legs _BWW 566 225 107
white_legs WWRG 526 238 118
white_legs _RYY 507 184 133
white_legs _G__ 507 184 133
white_legs WWRG 578 195 148
white_legs _GB_ 543 204 1283
white_legs WWRG 506 220 1286
_GB_ _RYY 500 162 97
_GB_ white_legs 515 154 101
_GB_ _BWW 530 170 147
_GB_ WWRG 730 246 165
_GB_ ____(6) 829 215 172
_GB_ BBRR 864 269 311
_GB_ WW__ 777 244 319
_GB_ RWY_ 734 284 436
_GB_ WY__ 592 206 594
_GB_ GG_W 586 202 674
_GB_ _BWW 565 202 689
_GB_ WY__ 554 203 1020
_GB_ WY__ 548 208 1135
_GB_ _BWW 546 201 1148
_GB_ ____(6) 722 206 1378
