,Data,Species,Interaction,N,rejected,Ints,Edges,Mean_weight,Weight_heterogeneity,Degree_heterogeneity,phi,e,fidelity,gamma,mean_r,SE_r,predicted_mean_r,predicted_SE_R,error
27,voles_BHP,Vole,Space sharing,195.0,0.0,1339.0,640.0,2.0921875,1.3110985343539954,2.3405849358974358,0.6663908176079529,0.0001409035328580049,0.36839043859697307,0.013205128205128204,1.3754717948717876,0.055926658998666126,1.4118598943968166,0.04820754299466509,0.16864437669097976
28,voles_KCS,Vole,Space sharing,193.0,0.0,1874.0,865.0,2.1664739884393063,1.1707725430441516,2.4917607595315827,0.7190658627471213,0.00020607883882689694,0.6320076118753536,0.01867277799920287,1.508621761658024,0.058417351762595666,1.4587901667212073,0.048440384905468606,0.14733215667773317
29,voles_PLJ,Vole,Space sharing,233.0,0.0,2126.0,1048.0,2.0286259541984735,1.0409883449548663,2.3392155096156992,0.7427059960956035,0.00018272344462789186,0.4482363612652024,0.017547045229448662,1.5166309012875467,0.0551648675690407,1.4764086332507909,0.048026892780056875,0.14479310612068613
30,voles_ROB,Vole,Space sharing,77.0,0.0,381.0,214.0,1.780373831775701,0.9624083204552702,1.6752033013715255,0.7647241550981462,0.0009821321228308789,0.24325302719114056,0.009515484515484516,1.28966233766233,0.07906540897406972,1.4541915653140762,0.08243697984207062,0.18201844302898992
31,parakeet_1_1,Parakeet,Aggression,21.0,0.0,175.0,98.0,1.7326732673267327,0.7416124469589818,1.1360544217687076,1.7376665130640736,0.022574145990992316,0.7384629653287325,NA,NA,NA,1.6713391127977408,0.11462794300524787,NA
32,parakeet_1_2,Parakeet,Aggression,21.0,0.0,222.0,110.0,1.9304347826086956,2.82632197414806,1.032900432900433,1.4373626153835828,0.01836142110159895,0.060898974840071333,NA,NA,NA,1.6187660969430733,0.10823228464273017,NA
33,parakeet_1_3,Parakeet,Aggression,21.0,0.0,325.0,107.0,2.6639344262295084,5.5176040353089535,1.2113929684023141,0.8688546839510158,0.008567587879097888,0.2679656755073589,NA,NA,NA,1.4455880596299537,0.10451015387436374,NA
34,parakeet_1_4,Parakeet,Aggression,21.0,0.0,291.0,131.0,2.093525179856115,1.5731414868105513,0.7757179207560887,1.7166244097837313,0.022304051681106028,1.1509615064054657,NA,NA,NA,1.6753351153735832,0.093531876454276,NA
35,parakeet_2_1,Parakeet,Aggression,19.0,0.0,399.0,113.0,2.9776119402985075,7.736673773987211,0.848625989753144,1.148039728834888,0.015417579484839686,0.8777787221512804,NA,NA,NA,1.5318910017967817,0.1015198187777704,NA
36,parakeet_2_2,Parakeet,Aggression,19.0,0.0,273.0,105.0,2.5045871559633026,1.931310279934133,0.7949874686716795,1.3738911683175772,0.019536610262328818,0.9569971168452589,NA,NA,NA,1.5932027557723583,0.09194243786207418,NA
37,parakeet_2_3,Parakeet,Aggression,19.0,0.0,247.0,99.0,2.330188679245283,1.552402413872126,0.9829877724614569,1.3583090822208927,0.01926620111731432,1.0324077263053655,NA,NA,NA,1.5875004672562711,0.0978405218546253,NA
38,parakeet_2_4,Parakeet,Aggression,19.0,0.0,441.0,126.0,3.291044776119403,2.266778353132298,0.2923976608187134,1.1571695241395918,0.015591757270812176,1.2038954046286332,NA,NA,NA,1.551453277866997,0.04705886126924357,NA
39,Bison_dominance,Bison,Aggression,26.0,0.0,897.0,222.0,2.856687898089172,2.466611990428108,1.3645183645183645,1.057796304141919,0.009130376896377275,0.8842685176119645,NA,NA,NA,1.5460010452383228,0.09410164622819125,NA
40,Sheep_dominance,Sheep,Aggression,28.0,0.0,658.0,235.0,2.632,1.8056899696048636,1.4568389057750757,1.3487926071948808,0.012166473334893513,0.9395817331230905,NA,NA,NA,1.6491252663628135,0.08873654644101163,NA
41,cattle_dominance,Cattle,Aggression,28.0,0.0,498.0,205.0,2.294930875576037,1.5444265541428386,1.6547038327526131,1.3539094693273532,0.012230197922146772,0.9460133900711156,NA,NA,NA,1.6466346130087643,0.09831610076937772,NA
42,macaque_dominance,Monkey,Aggression,62.0,0.0,2435.0,1167.0,2.0513900589721987,0.9083635344569592,1.4550957790861594,1.8831693259542877,0.007794500573634232,1.4417871912672593,NA,NA,NA,1.8602882500166364,0.045359888810129464,NA
43,Macaques_Massen,Monkey,Grooming,28.0,5.0,990.0,138.0,5.823529411764706,12.988591800356504,2.961697722567288,0.43076592869815594,0.0008458172171007859,1.1517796184918774,NA,NA,NA,1.2064435632765256,0.11134479760388541,NA
44,Macaques_Sade,Monkey,Grooming,16.0,1.0,647.0,69.0,5.828828828828829,10.073798682763135,0.8677536231884058,0.3501629197813881,0.0019168311614463033,0.9116075392078482,NA,NA,NA,1.2075756532857769,0.08710635486154925,NA
45,stumptailed_macaque,Monkey,Grooming,19.0,1.0,742.0,113.0,4.608695652173913,5.350873080979727,0.6008383791336748,0.6024330119241078,0.0047755673674438545,0.9580618578950175,NA,NA,NA,1.3444939194287742,0.06331082281047533,NA
46,Howler_monkeys,Monkey,Association,17.0,0.0,502.0,85.0,2.9529411764705884,2.13470822591985,0.16470588235294117,0.5380222131502492,0.004604661089299429,1.0089842801535278,NA,NA,NA,1.3209928777939461,0.03140073825398641,NA
47,Kangaroo_proximity,Kangaroo,Association,17.0,6.0,1161.0,91.0,6.183673469387755,12.53249814777396,1.3930187459599226,0.5069102407278587,0.004030264665552723,1.2472449712784386,NA,NA,NA,1.245420846686119,0.09372545589193643,NA
48,Swallow_proximity,Swallow,Association,17.0,1.0,886.0,122.0,7.262295081967213,6.807682344669357,0.2536162005785921,1.0482349647544995,0.015619081832475469,1.5775953446757214,NA,NA,NA,1.5045282824849124,0.0417573290782788,NA
49,shark_0,Shark,Association,41.0,0.0,463.0,161.0,2.875776397515528,2.426599412419677,2.2208756249053168,0.6826114660989513,0.001773394465452484,0.706517108850453,NA,NA,NA,1.3892574321135778,0.09071585745741084,NA
50,shark_1,Shark,Association,65.0,7.0,2571.0,452.0,5.688053097345133,5.206929399737715,2.2339006126616745,0.5772188050207444,0.0004543081725856801,1.0802945802460053,NA,NA,NA,1.3562485013699899,0.05466201692692463,NA
51,shark_2,Shark,Association,83.0,10.0,3619.0,670.0,5.401492537313433,3.748825230025611,3.4733321345081825,0.6073227203555511,0.00036625799694415856,1.1533356388957408,NA,NA,NA,1.3696332234904305,0.05783505915715741,NA
52,shark_3,Shark,Association,79.0,36.0,8926.0,805.0,11.088198757763974,13.778034717476894,3.0388867049296335,0.6043920227256272,0.00039045630293565114,2.009055152811278,NA,NA,NA,1.3781095364415028,0.050717665625148706,NA
53,shark_4,Shark,Association,85.0,40.0,11955.0,953.0,12.544596012591816,14.039678349599734,5.930090735139809,0.5653151211939587,0.0002561121983670942,2.4421545595942646,NA,NA,NA,1.3331396668876814,0.06003779805422935,NA
54,shark_5,Shark,Association,76.0,29.0,6248.0,758.0,8.242744063324539,7.414106128736923,4.969518122482988,0.5726151282288522,0.00033185238428776995,1.9294516205264713,NA,NA,NA,1.3381787204475866,0.06267502222191713,NA
55,shark_6,Shark,Association,75.0,21.0,4471.0,626.0,7.142172523961661,7.17833742906898,2.9696059637912673,0.5904529306672196,0.00038732694298753,1.72710627607775,NA,NA,NA,1.3655260361703132,0.053246809238059904,NA
56,shark_7,Shark,Association,74.0,7.0,2731.0,489.0,5.584867075664621,4.0149132245916945,2.6447244790803075,0.542375732195796,0.00027418008501818385,1.160736439718468,NA,NA,NA,1.3296008254837126,0.054143356116971283,NA
